EDA,ECG,Label,Left Pupil Diameter (m),Right Pupil Diameter (m),Eye Opening Left,Eye Opening Right,PERCLOS Value,Blinking
4.3013,0.1993,2,0.002631,0.002513,0.5919,0.6137,0.5879,0
4.2995,0.1257,2,0.002268,0.002275,0.6187,0.6230,0.5878,0
4.2988,-0.0162,2,0.002647,0.002524,0.5939,0.6201,0.5878,0
4.3003,-0.1683,2,0.002365,0.002381,0.6385,0.6336,0.5877,0
4.3005,-0.2584,2,0.002326,0.002502,0.5948,0.6254,0.5876,0
4.29,-0.2779,2,0.002524,0.002369,0.6277,0.6268,0.5876,0
4.2886,-0.2571,2,0.002655,0.002452,0.6003,0.6048,0.5875,0
4.2875,-0.2254,2,0.002415,0.002468,0.6221,0.6344,0.5875,0
4.2875,-0.191,2,0.002623,0.002561,0.6012,0.6143,0.5874,0
4.2882,-0.1566,2,0.002357,0.002433,0.6103,0.6236,0.5874,0
4.2877,-0.1225,2,0.002419,0.002543,0.5923,0.6181,0.5873,0
4.2889,-0.1,2,0.002392,0.002573,0.6401,0.6169,0.5873,0
4.2874,-0.0817,2,0.002567,0.002668,0.5982,0.6145,0.5872,0
4.2883,-0.0657,2,0.002382,0.002476,0.6281,0.6319,0.5872,0
4.2889,-0.0512,2,0.002458,0.002372,0.5924,0.6144,0.5871,0
4.2881,-0.0439,2,0.002175,0.002501,0.6308,0.6287,0.5871,0
4.2889,-0.037,2,0.002500,0.002370,0.5791,0.6238,0.5870,0
4.2881,-0.0317,2,0.002465,0.002604,0.6194,0.6229,0.5869,0
4.2879,-0.0255,2,0.002342,0.002588,0.5760,0.6121,0.5869,0
4.2873,-0.0231,2,0.002680,0.002561,0.6095,0.6235,0.5868,0
4.2881,-0.0182,2,0.002409,0.002634,0.5931,0.6115,0.5868,0
4.287,-0.0125,2,0.002505,0.002744,0.6185,0.6134,0.5867,0
4.2881,-0.0081,2,0.002448,0.002685,0.5977,0.6217,0.5867,0
4.2887,-0.0018,2,0.002547,0.002718,0.6460,0.6166,0.5866,0
4.2877,0.0032,2,0.002487,0.002655,0.5576,0.6279,0.5866,0
4.2879,0.0048,2,0.002433,0.002673,0.6289,0.6186,0.5865,0
4.2875,0.0064,2,0.002379,0.002543,0.5859,0.6311,0.5865,0
4.2886,0.0066,2,0.002627,0.002523,0.6089,0.6327,0.5864,0
4.287,0.0093,2,0.002655,0.002553,0.5923,0.6054,0.5863,0
4.2879,0.0275,2,0.002497,0.002514,0.6089,0.6092,0.5863,0
4.2874,0.0491,2,0.002588,0.002740,0.5718,0.6065,0.5862,0
4.2885,0.0912,2,0.002673,0.002684,0.6196,0.6034,0.5862,0
4.2881,0.1022,2,0.002484,0.002605,0.5390,0.5561,0.5861,0
4.2869,0.0418,2,0.002031,0.002513,0.4175,0.5028,0.5861,0
4.2871,-0.0131,2,0.002031,0.002513,0.1935,0.3121,0.5861,0
4.2873,-0.0544,2,0.002031,0.002513,0.0650,0.1192,0.5861,0
4.2881,-0.0697,2,0.002268,0.002570,0.0260,0.0594,0.5860,1
4.287,-0.0625,2,0.002268,0.002570,0.0079,0.0499,0.5860,1
4.2812,-0.0554,2,0.002268,0.002570,0.0059,0.0243,0.5859,1
4.2742,-0.052,2,0.002268,0.002570,0.0144,0.0329,0.5859,1
4.2744,0.0743,2,0.002268,0.002570,0.0179,0.0179,0.5858,1
4.2751,0.523,2,0.002268,0.002570,0.0159,0.0527,0.5858,1
4.2742,0.135,2,0.002268,0.002570,0.0097,0.0601,0.5857,1
4.2749,-0.2999,2,0.002268,0.002570,0.0215,0.0674,0.5856,1
4.2747,-0.3193,2,0.002268,0.002570,0.0663,0.1051,0.5856,1
4.274,-0.0687,2,0.002268,0.002570,0.1382,0.2102,0.5855,1
4.2753,0.0105,2,0.002268,0.002570,0.2670,0.2942,0.5855,1
4.2761,0.0396,2,0.002268,0.002570,0.3358,0.3627,0.5854,1
4.2764,0.0527,2,0.002410,0.002570,0.4305,0.4396,0.5854,1
4.2755,0.0677,2,0.002485,0.002423,0.4526,0.4652,0.5853,0
4.2763,0.0796,2,0.002346,0.002123,0.5079,0.4784,0.5853,0
4.2753,0.0962,2,0.002519,0.002087,0.4732,0.4668,0.5852,0
4.2759,0.1197,2,0.002388,0.002131,0.5050,0.4938,0.5852,0
4.2744,0.1487,2,0.002633,0.002185,0.4789,0.4985,0.5851,0
4.2745,0.1843,2,0.002476,0.002414,0.4870,0.5324,0.5851,0
4.2744,0.2068,2,0.002614,0.002268,0.4925,0.5083,0.5850,0
4.2757,0.2134,2,0.002402,0.002145,0.5319,0.5337,0.5849,0
4.2752,0.1723,2,0.002512,0.002387,0.5236,0.5035,0.5849,0
4.274,0.0377,2,0.002452,0.002035,0.5350,0.5036,0.5848,0
4.2746,-0.1185,2,0.002511,0.002237,0.5105,0.5155,0.5848,0
4.2752,-0.2346,2,0.002427,0.002266,0.5289,0.5286,0.5847,0
4.2755,-0.278,2,0.002475,0.002401,0.5414,0.5161,0.5847,0
4.2755,-0.269,2,0.002556,0.002219,0.5419,0.5174,0.5846,0
4.2747,-0.2363,2,0.002567,0.002331,0.5160,0.5161,0.5846,0
4.2746,-0.1991,2,0.002742,0.002308,0.5334,0.5410,0.5845,0
4.2759,-0.1632,2,0.002438,0.002208,0.5428,0.5213,0.5845,0
4.2745,-0.1306,2,0.002575,0.002299,0.5278,0.5209,0.5844,0
4.2759,-0.1032,2,0.002627,0.002380,0.5359,0.5232,0.5843,0
4.2751,-0.0809,2,0.002750,0.002382,0.5339,0.5568,0.5843,0
4.2743,-0.0612,2,0.002544,0.002344,0.5119,0.5084,0.5842,0
4.2755,-0.0441,2,0.002690,0.002404,0.5372,0.5300,0.5842,0
4.2744,-0.036,2,0.002648,0.002333,0.5306,0.4918,0.5841,0
4.2752,-0.0372,2,0.002670,0.002359,0.5188,0.5321,0.5841,0
4.27,-0.0352,2,0.002616,0.002604,0.5505,0.5032,0.5840,0
4.2629,-0.0314,2,0.002709,0.002281,0.5598,0.5303,0.5840,0
4.2628,-0.0247,2,0.002701,0.002347,0.5810,0.5178,0.5839,0
4.2633,-0.019,2,0.002706,0.002210,0.5541,0.5335,0.5839,0
4.262,-0.0077,2,0.002792,0.002475,0.5416,0.5475,0.5838,0
4.2625,-0.0073,2,0.002684,0.002372,0.5520,0.5237,0.5838,0
4.2622,-0.0043,2,0.002885,0.002421,0.5599,0.5314,0.5837,0
4.2627,0.0014,2,0.002755,0.002323,0.5629,0.5143,0.5836,0
4.263,0.0034,2,0.002843,0.002448,0.5655,0.5281,0.5836,0
4.2631,0.0057,2,0.002640,0.002255,0.5591,0.5510,0.5835,0
4.2625,0.0077,2,0.002929,0.002478,0.5553,0.5245,0.5835,0
4.2618,0.0085,2,0.002771,0.002454,0.5614,0.5367,0.5834,0
4.262,0.0232,2,0.003081,0.002698,0.5865,0.5267,0.5834,0
4.2631,0.0424,2,0.002845,0.002226,0.5660,0.5769,0.5833,0
4.2631,0.0882,2,0.003125,0.002754,0.5949,0.5351,0.5833,0
4.2644,0.1025,2,0.002780,0.002441,0.5765,0.5649,0.5832,0
4.2639,0.0488,2,0.003045,0.002616,0.5957,0.5317,0.5832,0
4.2628,-0.0072,2,0.002673,0.002253,0.5851,0.5358,0.5831,0
4.2631,-0.0534,2,0.003081,0.002816,0.5932,0.5364,0.5830,0
4.2625,-0.0726,2,0.003099,0.002368,0.6009,0.5549,0.5830,0
4.2633,-0.0669,2,0.003099,0.002816,0.5855,0.5499,0.5829,0
4.2622,-0.0506,2,0.002730,0.002317,0.5869,0.5621,0.5829,0
4.2627,-0.0482,2,0.003063,0.002703,0.5901,0.5355,0.5828,0
4.2631,0.0598,2,0.002955,0.002529,0.5956,0.5373,0.5828,0
4.2627,0.5297,2,0.002869,0.002467,0.5710,0.5289,0.5827,0
4.2624,0.185,2,0.002795,0.002398,0.6099,0.5414,0.5827,0
4.263,-0.26,2,0.003162,0.002360,0.5838,0.5450,0.5826,0
4.2641,-0.3287,2,0.002923,0.002541,0.5816,0.5675,0.5826,0
4.261,-0.0912,2,0.003054,0.002464,0.5664,0.5376,0.5825,0
4.2619,0.005,2,0.003039,0.002418,0.5822,0.5631,0.5825,0
4.2629,0.0354,2,0.002967,0.002630,0.5683,0.5615,0.5824,0
4.2622,0.0513,2,0.003076,0.002454,0.5936,0.5515,0.5823,0
4.263,0.0704,2,0.003108,0.002468,0.5751,0.5369,0.5823,0
4.2631,0.0816,2,0.002736,0.002512,0.5872,0.5634,0.5822,0
4.2629,0.092,2,0.003039,0.002582,0.5785,0.5415,0.5822,0
4.2635,0.1148,2,0.002648,0.002492,0.6111,0.5274,0.5821,0
4.2627,0.1464,2,0.003070,0.002401,0.5871,0.5527,0.5821,0
4.2627,0.1779,2,0.002814,0.002228,0.5836,0.5520,0.5820,0
4.2504,0.2071,2,0.002733,0.002542,0.5638,0.5328,0.5820,0
4.25,0.226,2,0.002413,0.002318,0.5569,0.5418,0.5819,0
4.2511,0.1838,2,0.002214,0.002009,0.5561,0.5350,0.5819,0
4.2504,0.0528,2,0.002379,0.002205,0.5775,0.5642,0.5818,0
4.2513,-0.1081,2,0.002157,0.002326,0.5633,0.5714,0.5818,0
4.2519,-0.2303,2,0.002220,0.002374,0.6080,0.5992,0.5817,0
4.2513,-0.2819,2,0.002641,0.002215,0.6419,0.6372,0.5816,0
4.2505,-0.2688,2,0.002432,0.002162,0.6629,0.6469,0.5816,0
4.2507,-0.2355,2,0.002360,0.002295,0.6867,0.6808,0.5815,0
4.2511,-0.2048,2,0.002481,0.002289,0.7174,0.6627,0.5815,0
4.2509,-0.174,2,0.002519,0.002070,0.7009,0.7084,0.5814,0
4.2509,-0.1369,2,0.002523,0.002136,0.7397,0.7100,0.5814,0
4.2497,-0.1048,2,0.002650,0.002107,0.7208,0.7026,0.5813,0
4.2496,-0.0761,2,0.002406,0.002259,0.7461,0.7209,0.5813,0
4.2501,-0.0605,2,0.002398,0.002238,0.7139,0.6979,0.5812,0
4.2496,-0.047,2,0.002616,0.002160,0.7225,0.7075,0.5812,0
4.2494,-0.0355,2,0.002374,0.002160,0.7284,0.7231,0.5811,0
4.2509,-0.0289,2,0.002568,0.002232,0.7270,0.7593,0.5810,0
4.2501,-0.0266,2,0.002266,0.002238,0.7405,0.7445,0.5810,0
4.2503,-0.0234,2,0.002394,0.002398,0.7395,0.7205,0.5809,0
4.2505,-0.0148,2,0.002405,0.002240,0.7465,0.7598,0.5809,0
4.2499,-0.0113,2,0.002171,0.002507,0.7276,0.6988,0.5808,0
4.2496,-0.0117,2,0.002367,0.002365,0.7430,0.7430,0.5808,0
4.2507,-0.0046,2,0.002590,0.002104,0.7770,0.7318,0.5807,0
4.2496,0.0006,2,0.002456,0.002185,0.7337,0.7601,0.5807,0
4.2509,0.003,2,0.002331,0.002293,0.7267,0.7515,0.5806,0
4.2503,0.007,2,0.002363,0.002315,0.7598,0.7767,0.5806,0
4.2513,0.0326,2,0.002446,0.002127,0.7511,0.7524,0.5805,0
4.2522,0.0532,2,0.002317,0.002090,0.7385,0.7444,0.5805,0
4.2507,0.1041,2,0.002398,0.002263,0.7313,0.7369,0.5804,0
4.2501,0.0932,2,0.002406,0.002194,0.7413,0.7666,0.5803,0
4.2383,0.0235,2,0.002176,0.002205,0.7240,0.7544,0.5803,0
4.2385,-0.0216,2,0.002480,0.002214,0.7159,0.7552,0.5802,0
4.2392,-0.0617,2,0.002534,0.002126,0.7280,0.7548,0.5802,0
4.2387,-0.0666,2,0.002202,0.002113,0.7543,0.7519,0.5801,0
4.2376,-0.0559,2,0.002383,0.001975,0.7195,0.7613,0.5801,0
4.238,-0.0423,2,0.002589,0.002231,0.7173,0.7623,0.5800,0
4.2377,-0.0526,2,0.002327,0.001918,0.7257,0.7621,0.5800,0
4.2385,0.1793,2,0.002208,0.002039,0.7631,0.7501,0.5799,0
4.2384,0.5167,2,0.002339,0.001744,0.7124,0.7599,0.5799,0
4.2389,-0.0121,2,0.002451,0.002068,0.7723,0.7614,0.5798,0
4.2391,-0.3185,2,0.002201,0.001891,0.7418,0.7577,0.5798,0
4.2386,-0.2673,2,0.002298,0.002019,0.7588,0.7572,0.5797,0
4.2381,-0.0383,2,0.002291,0.001855,0.7339,0.7446,0.5796,0
4.2381,0.0208,2,0.002230,0.002040,0.7448,0.7535,0.5796,0
4.2391,0.0445,2,0.002226,0.001958,0.7191,0.7437,0.5795,0
4.2391,0.0609,2,0.002240,0.001896,0.7211,0.7561,0.5795,0
4.2389,0.0713,2,0.002133,0.001828,0.7304,0.7499,0.5794,0
4.2382,0.0915,2,0.002211,0.001966,0.7429,0.7653,0.5794,0
4.2383,0.1086,2,0.002169,0.001989,0.7193,0.7687,0.5793,0
4.2379,0.1252,2,0.002236,0.002152,0.7183,0.7644,0.5793,0
4.2386,0.1537,2,0.002152,0.001894,0.7551,0.7388,0.5792,0
4.2383,0.1871,2,0.002161,0.001907,0.7313,0.7578,0.5792,0
4.2383,0.2094,2,0.002209,0.001877,0.7273,0.7662,0.5791,0
4.2384,0.2068,2,0.002276,0.001901,0.7288,0.7396,0.5790,0
4.2395,0.137,2,0.002307,0.001899,0.7477,0.7486,0.5790,0
4.2389,-0.0065,2,0.002325,0.002036,0.7392,0.7661,0.5789,0
4.2379,-0.1628,2,0.002300,0.001926,0.7305,0.7523,0.5789,0
4.2381,-0.2547,2,0.002303,0.002000,0.7539,0.7512,0.5788,0
4.2387,-0.2721,2,0.002122,0.002003,0.7191,0.7475,0.5788,0
4.2335,-0.2546,2,0.002331,0.001877,0.7117,0.7578,0.5787,0
4.2261,-0.2212,2,0.002288,0.001995,0.7195,0.7589,0.5787,0
4.2263,-0.1849,2,0.002145,0.002137,0.7308,0.7528,0.5786,0
4.2257,-0.1508,2,0.002212,0.001988,0.7101,0.7817,0.5786,0
4.2273,-0.1258,2,0.002317,0.001865,0.7309,0.7283,0.5785,0
4.2257,-0.0995,2,0.002220,0.001992,0.6382,0.6944,0.5785,0
4.227,-0.0764,2,0.002220,0.002042,0.3972,0.5540,0.5784,0
4.2267,-0.0577,2,0.002220,0.002042,0.1897,0.1872,0.5784,0
4.2261,-0.0438,2,0.002586,0.002042,0.0788,0.1650,0.5783,1
4.2267,-0.0379,2,0.002586,0.002057,0.0240,0.0335,0.5783,1
4.2253,-0.0368,2,0.002586,0.002057,0.0316,0.0914,0.5782,1
4.2267,-0.0293,2,0.002586,0.002057,0.0223,0.0802,0.5782,1
4.216,-0.021,2,0.002586,0.002057,0.0546,0.1783,0.5781,1
4.2133,-0.0171,2,0.002586,0.002057,0.0784,0.1679,0.5781,1
4.2133,-0.0148,2,0.002586,0.002057,0.1091,0.2469,0.5780,1
4.214,-0.0086,2,0.002586,0.002057,0.2219,0.4005,0.5780,1
4.2131,-0.0029,2,0.002586,0.001988,0.3284,0.4424,0.5779,1
4.2152,0.0018,2,0.002183,0.002128,0.4461,0.4996,0.5779,1
4.2143,0.0038,2,0.002387,0.002369,0.4456,0.4804,0.5778,0
4.213,0.0044,2,0.002469,0.002388,0.4614,0.5364,0.5777,0
4.2145,0.007,2,0.002383,0.002467,0.4937,0.5338,0.5777,0
4.2146,0.0256,2,0.002213,0.002144,0.5130,0.5662,0.5776,0
4.2149,0.0467,2,0.002479,0.002604,0.5298,0.5183,0.5776,0
4.2141,0.0783,2,0.002617,0.002394,0.5056,0.5509,0.5775,0
4.2157,0.1023,2,0.002627,0.002358,0.5170,0.5092,0.5775,0
4.2147,0.0552,2,0.002618,0.002210,0.5117,0.5333,0.5774,0
4.2139,0.0014,2,0.002529,0.002375,0.5301,0.5314,0.5774,0
4.2135,-0.0506,2,0.002403,0.002276,0.5281,0.5460,0.5773,0
4.2152,-0.0719,2,0.002453,0.002182,0.5296,0.5348,0.5773,0
4.2145,-0.0648,2,0.002468,0.002354,0.5230,0.5426,0.5772,0
4.2143,-0.0523,2,0.002329,0.002356,0.5451,0.5220,0.5772,0
4.2137,-0.0413,2,0.002720,0.002231,0.5193,0.5348,0.5771,0
4.2135,0.0244,2,0.002593,0.002199,0.5186,0.5508,0.5770,0
4.2136,0.4842,2,0.002646,0.002272,0.5417,0.5412,0.5770,0
4.2162,0.2146,2,0.002553,0.002233,0.5396,0.5269,0.5769,0
4.2131,-0.25,2,0.002548,0.002251,0.5359,0.5462,0.5769,0
4.2133,-0.3383,2,0.002533,0.002409,0.5461,0.5312,0.5768,0
4.2139,-0.086,2,0.002671,0.002252,0.5293,0.5512,0.5768,0
4.2137,0.0138,2,0.002601,0.002345,0.5338,0.5046,0.5767,0
4.2143,0.0424,2,0.002544,0.002230,0.5392,0.5329,0.5767,0
4.2128,0.057,2,0.002445,0.002293,0.5466,0.5328,0.5766,0
4.2139,0.07,2,0.002548,0.002479,0.5227,0.5541,0.5766,0
4.2138,0.0835,2,0.002530,0.002398,0.5354,0.5145,0.5765,0
4.2147,0.0952,2,0.002549,0.002335,0.5491,0.5265,0.5765,0
4.2139,0.1152,2,0.002708,0.002199,0.5262,0.5412,0.5764,0
4.2141,0.1544,2,0.002674,0.002270,0.5405,0.5555,0.5763,0
4.2107,0.2007,2,0.002737,0.002399,0.5365,0.5071,0.5763,0
4.2021,0.2312,2,0.002753,0.002294,0.5599,0.5463,0.5762,0
4.2028,0.232,2,0.002819,0.002389,0.5762,0.5338,0.5762,0
4.2017,0.1768,2,0.002785,0.002373,0.5790,0.5537,0.5761,0
4.2019,0.0578,2,0.002782,0.002721,0.5908,0.5392,0.5761,0
4.2014,-0.1185,2,0.002773,0.002535,0.5551,0.5489,0.5760,0
4.2011,-0.2446,2,0.002880,0.002489,0.5701,0.5321,0.5760,0
4.2025,-0.2913,2,0.002672,0.002419,0.5532,0.5456,0.5759,0
4.2007,-0.2824,2,0.002664,0.002434,0.5829,0.5411,0.5759,0
4.2013,-0.2515,2,0.002788,0.002700,0.5626,0.5287,0.5758,0
4.2021,-0.2155,2,0.002901,0.002309,0.5669,0.5300,0.5757,0
4.2019,-0.1809,2,0.002698,0.002630,0.5647,0.5411,0.5757,0
4.2021,-0.1445,2,0.002867,0.002513,0.6072,0.5378,0.5756,0
4.2017,-0.1175,2,0.002860,0.002405,0.5655,0.5570,0.5756,0
4.2014,-0.0922,2,0.002728,0.002429,0.5751,0.5382,0.5755,0
4.2006,-0.0774,2,0.002786,0.002503,0.5571,0.5535,0.5755,0
4.203,-0.0658,2,0.002788,0.002555,0.5704,0.5385,0.5754,0
4.2014,-0.0544,2,0.002792,0.002416,0.5800,0.5897,0.5754,0
4.2011,-0.0481,2,0.002904,0.002423,0.5779,0.5261,0.5753,0
4.2015,-0.0392,2,0.002830,0.002514,0.5725,0.5330,0.5753,0
4.2018,-0.0304,2,0.002877,0.002395,0.5920,0.5463,0.5752,0
4.2019,-0.0297,2,0.002656,0.002419,0.6000,0.5722,0.5752,0
4.2013,-0.0233,2,0.002997,0.002404,0.5864,0.5334,0.5751,0
4.2029,-0.0153,2,0.002592,0.002254,0.6028,0.5510,0.5750,0
4.2013,-0.0113,2,0.002894,0.002417,0.5959,0.5328,0.5750,0
4.2015,0.0004,2,0.002806,0.002421,0.6112,0.5504,0.5749,0
4.2028,0.0045,2,0.002930,0.002406,0.6038,0.5335,0.5749,0
4.2011,0.0052,2,0.002807,0.002358,0.5999,0.5622,0.5748,0
4.2027,0.0309,2,0.002826,0.002315,0.6092,0.5249,0.5748,0
4.2021,0.0544,2,0.002694,0.002612,0.6182,0.5523,0.5747,0
4.2027,0.1087,2,0.002916,0.002662,0.6022,0.5742,0.5747,0
4.2023,0.095,2,0.002669,0.002432,0.6242,0.5671,0.5746,0
4.2021,0.0279,2,0.002742,0.002309,0.5709,0.5620,0.5746,0
4.2009,-0.0173,2,0.002799,0.002684,0.6003,0.5601,0.5745,0
4.2025,-0.0583,2,0.002650,0.002345,0.5951,0.5683,0.5744,0
4.2013,-0.0651,2,0.002975,0.002436,0.6189,0.5456,0.5744,0
4.2013,-0.0529,2,0.002738,0.002479,0.6146,0.5480,0.5743,0
4.2007,-0.0377,2,0.002948,0.002612,0.6077,0.5652,0.5743,0
4.1906,-0.0421,2,0.002902,0.002430,0.6091,0.5597,0.5742,0
4.1889,0.2093,2,0.002696,0.002444,0.6039,0.5638,0.5742,0
4.1906,0.5423,2,0.002766,0.002508,0.5969,0.5424,0.5741,0
4.1885,0.0107,2,0.002754,0.002517,0.5909,0.5658,0.5741,0
4.1891,-0.3201,2,0.002773,0.002298,0.6132,0.5474,0.5740,0
4.1893,-0.2832,2,0.002784,0.002408,0.5977,0.5733,0.5740,0
4.1902,-0.0448,2,0.002720,0.002285,0.6015,0.5416,0.5739,0
4.1899,0.0221,2,0.002690,0.002507,0.6115,0.5545,0.5739,0
4.1904,0.0467,2,0.002834,0.002180,0.5843,0.5429,0.5738,0
4.1899,0.0547,2,0.002654,0.002192,0.6312,0.5596,0.5737,0
4.1901,0.071,2,0.002636,0.002374,0.5981,0.5366,0.5737,0
4.1893,0.0931,2,0.002584,0.002451,0.6350,0.6118,0.5736,0
4.1897,0.1039,2,0.002719,0.002318,0.5996,0.5641,0.5736,0
4.1903,0.1285,2,0.002744,0.002374,0.6244,0.5791,0.5735,0
4.1899,0.1554,2,0.002779,0.002294,0.6136,0.5609,0.5735,0
4.189,0.1898,2,0.002916,0.002350,0.6181,0.5695,0.5734,0
4.1906,0.2188,2,0.002682,0.002616,0.6058,0.5434,0.5734,0
4.1895,0.2163,2,0.002734,0.002384,0.6126,0.5533,0.5733,0
4.1901,0.1379,2,0.002741,0.002266,0.6100,0.5605,0.5733,0
4.1891,-0.0286,2,0.002610,0.002525,0.6180,0.5877,0.5732,0
4.1889,-0.1841,2,0.002841,0.002312,0.5947,0.5328,0.5732,0
4.1902,-0.2605,2,0.002681,0.002475,0.6078,0.5459,0.5731,0
4.1897,-0.27,2,0.002527,0.002196,0.6244,0.5575,0.5730,0
4.1891,-0.2561,2,0.002657,0.002265,0.6121,0.5598,0.5730,0
4.1892,-0.2225,2,0.002669,0.002377,0.6164,0.5546,0.5729,0
4.1885,-0.1857,2,0.002687,0.002422,0.5838,0.5676,0.5729,0
4.1891,-0.1497,2,0.002770,0.002260,0.5972,0.5514,0.5728,0
4.1899,-0.1115,2,0.002666,0.002382,0.6123,0.5865,0.5728,0
4.1897,-0.085,2,0.002717,0.002456,0.5882,0.5473,0.5727,0
4.1904,-0.0669,2,0.002784,0.002373,0.6008,0.5742,0.5727,0
4.1901,-0.0458,2,0.002556,0.002277,0.6020,0.5417,0.5726,0
4.1891,-0.0388,2,0.002729,0.002419,0.6016,0.5769,0.5726,0
4.1899,-0.0331,2,0.002596,0.002436,0.5995,0.5656,0.5725,0
4.1887,-0.0271,2,0.002745,0.002242,0.5828,0.5649,0.5724,0
4.1899,-0.0215,2,0.002569,0.002152,0.5148,0.5160,0.5724,0
4.1892,-0.0127,2,0.002227,0.002144,0.3546,0.3975,0.5723,0
4.1832,-0.0103,2,0.002227,0.002144,0.1083,0.1942,0.5723,0
4.1769,-0.0064,2,0.002227,0.002144,0.0652,0.0945,0.5723,0
4.1773,0.0039,2,0.002140,0.002217,0.0302,0.0893,0.5723,1
4.1775,0.0035,2,0.002140,0.002217,0.0549,0.0897,0.5722,1
4.1756,0.015,2,0.002140,0.002217,0.0278,0.1371,0.5722,1
4.177,0.0386,2,0.002140,0.002217,0.0780,0.0932,0.5721,1
4.1775,0.0677,2,0.002140,0.002217,0.0987,0.1525,0.5721,1
4.1773,0.1169,2,0.002140,0.002217,0.1897,0.1642,0.5720,1
4.1768,0.0802,2,0.002140,0.002217,0.2693,0.3506,0.5720,1
4.1763,0.013,2,0.002140,0.002217,0.3939,0.4509,0.5719,1
4.1756,-0.0276,2,0.002147,0.001775,0.4605,0.4585,0.5719,1
4.1775,-0.0591,2,0.002223,0.002192,0.4874,0.5075,0.5718,0
4.1769,-0.0565,2,0.002360,0.001989,0.4857,0.5129,0.5717,0
4.1763,-0.0471,2,0.002504,0.002098,0.5336,0.5596,0.5717,0
